id,timestamp_utc,timestamp_text,time_boot_s,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
105,1763044036.9157102,Thu 2025-11-13 15:27:16,879.578,0.01872299797832966,-0.00028074902365915477,-0.8902769088745117,-0.0001340688904747367,-0.0003114621213171631,-0.00038158276583999395
106,1763044038.915673,Thu 2025-11-13 15:27:18,881.578,0.007581908255815506,-0.011288504116237164,-0.890032947063446,-0.0006329808384180069,0.0007057437323965132,-0.0001295264228247106
107,1763044040.9156756,Thu 2025-11-13 15:27:20,883.578,0.00021053256932646036,-0.023253539577126503,-0.8940339684486389,-0.0006763812270946801,0.0007954886532388628,7.058623305056244e-05
108,1763044041.9157417,Thu 2025-11-13 15:27:21,884.578,-0.004340255167335272,-0.012938512489199638,-0.8947790265083313,-0.0003718530642800033,0.00046330809709616005,-1.343723852187395e-06
109,1763044342.0430439,Thu 2025-11-13 15:32:22,1184.578,0.12508215010166168,-0.1356814056634903,-0.8482064604759216,-0.07851742208003998,-0.046975649893283844,0.006637181155383587
110,1763044343.9246917,Thu 2025-11-13 15:32:23,1186.578,-0.723366916179657,0.06348805129528046,-1.0370131731033325,3.9165024757385254,-0.10169865936040878,0.5970917344093323
111,1763044344.9247313,Thu 2025-11-13 15:32:24,1187.578,-0.0025468727108091116,0.26577630639076233,-0.926285982131958,-0.06122813746333122,0.058171346783638,0.06543982028961182
112,1763044345.9249632,Thu 2025-11-13 15:32:25,1188.578,-0.9822864532470703,0.10376010835170746,-0.9871633052825928,-3.3485543727874756,-0.3066943287849426,-0.4009663164615631
113,1763044958.0920322,Thu 2025-11-13 15:42:38,113.632,0.00325550464913249,-0.0034560190979391336,-1.0167418718338013,-4.317474667914212e-05,9.814187069423497e-05,4.00430872105062e-05
114,1763044960.092096,Thu 2025-11-13 15:42:40,115.632,0.0032514752820134163,-0.0034271571785211563,-1.0187209844589233,-0.00017798415501601994,-3.206782275810838e-05,0.00018250374705530703
115,1763044962.0922434,Thu 2025-11-13 15:42:42,117.632,0.00323030399158597,-0.00342095410451293,-1.0159138441085815,-0.0003395311359781772,8.712997077964246e-05,0.00024727487470954657
116,1763044964.0921717,Thu 2025-11-13 15:42:44,119.632,0.0031283970456570387,-0.0034525590017437935,-1.0177109241485596,4.3416097469162196e-05,-0.00023375966702587903,9.666220284998417e-05
117,1763044966.0922024,Thu 2025-11-13 15:42:46,121.632,0.0030579257290810347,-0.0034113412257283926,-1.0187246799468994,-0.0001937030756380409,-5.003335536457598e-05,7.066474063321948e-05
118,1763044967.092245,Thu 2025-11-13 15:42:47,122.632,0.0030445163138210773,-0.0034167892299592495,-1.0174567699432373,-0.00012744232662953436,-9.375729132443666e-05,-0.00015961355529725552
119,1763044968.0924819,Thu 2025-11-13 15:42:48,123.632,0.0031457182485610247,-0.0034271692857146263,-1.016452670097351,6.355302321026102e-05,8.526633610017598e-05,-3.0293595045804977e-05
120,1763045045.0944743,Thu 2025-11-13 15:44:05,200.632,0.003014300251379609,-0.003394592320546508,-1.0183589458465576,-3.530294634401798e-08,-6.512654363177717e-05,6.890887743793428e-05
121,1763045046.0945032,Thu 2025-11-13 15:44:06,201.633,0.0030407363083213568,-0.00345479603856802,-1.0172230005264282,-2.469973696861416e-05,-4.7324137995019555e-05,0.00013294501695781946
122,1763045048.094497,Thu 2025-11-13 15:44:08,203.632,0.0029589515179395676,-0.0035039654467254877,-1.0192919969558716,-1.363870978821069e-05,5.0751958042383194e-05,-0.0002104878076352179
123,1763045049.0948389,Thu 2025-11-13 15:44:09,204.633,0.0029809854459017515,-0.003518802346661687,-1.0199272632598877,-0.0002537682303227484,8.802118827588856e-05,-8.045305730774999e-05
124,1763045051.0945854,Thu 2025-11-13 15:44:11,206.632,0.003115587867796421,-0.003487801179289818,-1.0197712182998657,6.145029328763485e-05,1.6718462575227022e-05,-5.444730049930513e-05
125,1763045052.0946102,Thu 2025-11-13 15:44:12,207.632,0.003099584486335516,-0.0034412373788654804,-1.0189406871795654,5.141550354892388e-05,4.035112215206027e-05,-0.0003770075272768736
126,1763045053.094648,Thu 2025-11-13 15:44:13,208.632,0.0031702567357569933,-0.003447374328970909,-1.0186601877212524,3.570865374058485e-05,-0.00016875591245479882,1.3221695553511381e-05
127,1763045054.0946987,Thu 2025-11-13 15:44:14,209.633,0.0033064205199480057,-0.003392997430637479,-1.0181384086608887,9.298157237935811e-05,-0.00014183834719005972,-3.759103128686547e-05
128,1763045055.0948713,Thu 2025-11-13 15:44:15,210.633,0.0033735770266503096,-0.003404246876016259,-1.0186837911605835,8.47293995320797e-05,3.6103796446695924e-05,-5.131581565365195e-05
129,1763045057.0947356,Thu 2025-11-13 15:44:17,212.632,0.0033285762183368206,-0.003431383054703474,-1.0178413391113281,7.483678928110749e-05,-1.3170327292755246e-05,-4.375370917841792e-05
130,1763045364.105712,Thu 2025-11-13 15:49:24,519.633,0.04066470265388489,-0.05429094284772873,-1.042815089225769,0.0012745894491672516,-0.0009549533133395016,-5.466246511787176e-05
131,1763045365.10573,Thu 2025-11-13 15:49:25,520.633,0.045805707573890686,-0.045904554426670074,-1.042639136314392,0.0013313689269125462,-0.0009285848354920745,-3.330473555251956e-05
132,1763045367.1057343,Thu 2025-11-13 15:49:27,522.633,0.06526762247085571,-0.05187562108039856,-1.0441219806671143,0.001221387181431055,-0.0009743802947923541,8.246017387136817e-05
133,1763045368.1058974,Thu 2025-11-13 15:49:28,523.633,0.05097627267241478,-0.0529942661523819,-1.0422327518463135,0.0013175816275179386,-0.000984302256256342,2.2229156456887722e-05
134,1763045370.1059022,Thu 2025-11-13 15:49:30,525.633,0.04093582555651665,-0.04690442234277725,-1.0411797761917114,0.00046149425907060504,-0.00023445722763426602,0.00020027917344123125
135,1763045711.1155534,Thu 2025-11-13 15:55:11,866.633,0.0010570178274065256,-0.006907137576490641,-1.0467720031738281,-0.0012146392837166786,0.000598283251747489,5.0024245865643024e-05
136,1763045712.1156301,Thu 2025-11-13 15:55:12,867.633,0.00946081057190895,-0.0052907285280525684,-1.0431932210922241,-0.0012142693158239126,0.0007353868568316102,-0.000123765436001122
137,1763045713.1156492,Thu 2025-11-13 15:55:13,868.633,-0.016384966671466827,-0.008686330169439316,-1.0411285161972046,-0.0010841459734365344,0.0009053458925336599,0.0006825834279879928
138,1763045714.1156526,Thu 2025-11-13 15:55:14,869.632,-0.01299294363707304,-0.0028849467635154724,-1.0388344526290894,-0.0010405478533357382,0.0009769932366907597,0.0007563524413853884
139,1763045715.115668,Thu 2025-11-13 15:55:15,870.632,-0.015344887040555477,0.0002568615600466728,-1.0365803241729736,-0.00113837665412575,0.0008841751841828227,0.0008467072620987892
140,1763045716.1157327,Thu 2025-11-13 15:55:16,871.633,0.006646354682743549,-0.0010981681989505887,-1.03382408618927,-0.0009351669577881694,0.0009988886304199696,0.00046246894635260105
141,1763045718.1157806,Thu 2025-11-13 15:55:18,873.633,-0.01794927567243576,-0.0020079081878066063,-1.0282979011535645,-0.0011987038888037205,0.0006934002740308642,0.0014804715756326914
142,1763045729.1160553,Thu 2025-11-13 15:55:29,884.632,0.0006908960058353841,0.0001331164821749553,-1.0179294347763062,-3.2510608434677124e-05,0.0007520763319917023,0.0010519970674067736
143,1763045730.1160986,Thu 2025-11-13 15:55:30,885.632,0.0024015032686293125,0.000284937908872962,-1.0185680389404297,-0.00011147199256811291,0.0005442199762910604,0.0010336360428482294
144,1763045731.1161826,Thu 2025-11-13 15:55:31,886.632,0.0054852901957929134,0.0020726416260004044,-1.0187699794769287,-5.837393109686673e-05,0.0006678747595287859,0.0010052572470158339
145,1763045733.1162622,Thu 2025-11-13 15:55:33,888.633,-0.005314880516380072,-0.0002944991865660995,-1.0155774354934692,6.423578452086076e-05,0.0004739266587421298,0.0009827848989516497
146,1763045735.116245,Thu 2025-11-13 15:55:35,890.632,0.022808227688074112,0.0007819348247721791,-1.0132707357406616,0.0004031974240206182,0.0004781590250786394,0.0007932750158943236
147,1763045736.1162696,Thu 2025-11-13 15:55:36,891.632,0.034696757793426514,-0.0020504039712250233,-1.0155892372131348,0.0005564778693951666,0.0005029308376833797,0.0011257394216954708
148,1763045737.1163616,Thu 2025-11-13 15:55:37,892.632,0.013112250715494156,0.001107396325096488,-1.0146688222885132,0.0006179100601002574,0.0006182066863402724,0.0009088932420127094
149,1763045738.1163683,Thu 2025-11-13 15:55:38,893.633,0.00529496930539608,0.0028905184008181095,-1.0136321783065796,0.000525006209500134,0.0004971272428520024,0.0011720266193151474
150,1763547763.7438955,Wed 2025-11-19 11:22:43,422.497,-0.0001601339754415676,-0.059685174375772476,-2.277163505554199,0.00011989785707555711,-1.497784978710115e-05,0.000309423339786008
151,1763547764.7439494,Wed 2025-11-19 11:22:44,423.497,1.9953933588112704e-05,-0.05972837284207344,-2.279146194458008,9.645152022130787e-05,-8.972377690952271e-05,0.0004891550051979721
152,1763547766.7439437,Wed 2025-11-19 11:22:46,425.497,-8.416312630288303e-05,-0.05976569280028343,-2.279250144958496,6.8410299718379974e-06,0.00010507652768865228,0.0004388047964312136
153,1763547767.7441466,Wed 2025-11-19 11:22:47,426.497,-3.95745737478137e-05,-0.059751708060503006,-2.2797932624816895,0.0001722017041174695,-7.466888928320259e-05,9.084427438210696e-05
154,1763547769.7439313,Wed 2025-11-19 11:22:49,428.497,-5.530226917471737e-05,-0.05966254696249962,-2.2799367904663086,7.070368155837059e-06,7.514006574638188e-05,0.00015024194726720452
